Country/Region,0
Afghanistan,1926.2233946714853
Albania,1081.8015135715727
Algeria,1455.6783506614963
Andorra,111.93528437483081
Angola,293.9528151077063
Antigua and Barbuda,25.55416645279145
Argentina,32713.194266726237
Armenia,2140.529649082831
Australia,503.580940165023
Austria,7253.564084632356
Azerbaijan,4197.644146679596
Bahamas,129.42868484310716
Bahrain,2809.3914323645067
Bangladesh,13742.686094565961
Barbados,101.0224454489674
Belarus,1899.9437755347521
Belgium,17074.068958737123
Belize,296.2407054579304
Benin,128.86410932701753
Bhutan,33.63224212774763
Bolivia,3109.1048802996374
Bosnia and Herzegovina,1775.6961346373096
Botswana,2665.6616923834513
Brazil,80732.29624243642
Brunei,32.83316365368998
Bulgaria,3803.1649276343305
Burkina Faso,185.0846121071475
Burma,5559.352727805501
Burundi,219.41529526489865
Cabo Verde,300.7751932252881
Cambodia,944.0318362402448
Cameroon,2154.4590565355984
Canada,8611.462915571492
Central African Republic,110.06382913846903
Chad,52.1903861853759
Chile,7439.570473872144
China,4943.828413132074
Colombia,30556.350364359532
Comoros,96.14277171809069
Congo (Brazzaville),123.07463652306701
Congo (Kinshasa),376.1999143705743
Costa Rica,2603.2934986992386
Cote d'Ivoire,445.1908588017827
Croatia,3793.3240606776326
Cuba,8955.364816252699
Cyprus,981.8481329029516
Czechia,12793.547901670754
Denmark,3373.9169267743064
Djibouti,188.8714597514808
Dominica,27.50399023582456
Dominican Republic,1615.6089057230824
Ecuador,2460.9163851673948
Egypt,1525.3240224083888
El Salvador,426.35310455745565
Equatorial Guinea,318.8121318239817
Eritrea,71.95047654713571
Estonia,1536.4550504533534
Eswatini,757.751051287287
Ethiopia,2077.652988765234
Fiji,1052.9368392451229
Finland,797.546587631039
France,56948.384303063925
Gabon,208.22494603686613
Gambia,138.93288258796335
Georgia,4408.65594963802
Germany,26146.428797026438
Ghana,857.9329016375193
Greece,3223.597743132067
Grenada,5.565605496287141
Guatemala,3399.0809586353766
Guinea,174.25634351087848
Guinea-Bissau,53.03796028848456
Guyana,145.96528023127507
Haiti,189.35734080270407
Honduras,1783.2209160884731
Hungary,9023.281022395086
Iceland,114.52555780006983
India,387269.7453846784
Indonesia,46148.981906885565
Iran,37739.42037014442
Iraq,11559.796652355864
Ireland,5505.495907789262
Israel,8277.525543835281
Italy,34770.9989436814
Jamaica,650.7194434338222
Japan,15238.857347913054
Jordan,8336.082420461991
Kazakhstan,8258.84998356266
Kenya,1330.6581156764291
Kiribati,0.28140154361040914
"Korea, South",1825.8372443731016
Kosovo,1127.3771615847036
Kuwait,1808.357355531091
Kyrgyzstan,1330.3814961241878
Laos,276.5428609780577
Latvia,1033.3721794573005
Lebanon,4878.7662363888785
Lesotho,345.5948455151095
Liberia,154.0813291406413
Libya,2626.758419114646
Liechtenstein,42.2453938554728
Lithuania,3044.3418405978105
Luxembourg,691.8397619036621
Madagascar,566.0941371811649
Malawi,908.658730617625
Malaysia,19811.846079089893
Maldives,1517.1524519604661
Mali,201.31325547654376
Malta,299.9303229402079
Marshall Islands,0.5520260345532292
Mauritania,321.2219651556949
Mauritius,145.130831907598
Mexico,18942.203155922514
Micronesia,0.18181818181818182
Moldova,1710.739078237617
Monaco,24.91159105851793
Mongolia,2548.5169660541815
Montenegro,591.0606572343006
Morocco,9375.645170377898
Mozambique,1871.6385343503023
Namibia,1664.8801926170402
Nepal,8428.068121012324
Netherlands,10927.997682043148
New Zealand,71.82409767039708
Nicaragua,99.26389759208155
Niger,64.22971717422463
Nigeria,1694.9501898604854
North Macedonia,1210.3675317833297
Norway,941.3957296920361
Oman,2155.4326905648168
Pakistan,5871.266825696667
Panama,3605.424435602823
Papua New Guinea,292.81331050261724
Paraguay,2995.7676342123827
Peru,9788.684602443715
Philippines,10670.848643307916
Poland,28301.48126183655
Portugal,12720.363977066945
Qatar,1859.6588685904724
Romania,8854.362319310985
Russia,28254.860704544622
Rwanda,1116.0618913427068
Saint Kitts and Nevis,23.954872434596723
Saint Lucia,124.54557493737808
Saint Vincent and the Grenadines,46.75508015435857
Samoa,0.21169165576247334
San Marino,38.777574759265576
Sao Tome and Principe,34.57712516538587
Saudi Arabia,4133.126482960732
Senegal,858.0775727508117
Serbia,7200.576904050694
Seychelles,383.4729720375669
Sierra Leone,81.7929209327526
Singapore,857.1968866693067
Slovakia,3297.801825101452
Slovenia,2001.418575746795
Solomon Islands,1.1575444726162658
Somalia,170.79815426042776
South Africa,19918.269461250817
South Sudan,189.88013740158885
Spain,37713.7512670394
Sri Lanka,3352.3482236759783
Sudan,281.75151931017547
Suriname,262.7334263717453
Sweden,8358.938428943142
Switzerland,8596.136907480379
Syria,147.07551899398652
Taiwan*,502.2827925487776
Tajikistan,181.1416690920151
Tanzania,92.36363636363636
Thailand,20906.99853138016
Timor-Leste,196.14859495823003
Togo,185.27863379274476
Trinidad and Tobago,535.2862180969927
Tunisia,7325.650828687694
Turkey,58404.93879892614
US,246022.04776737606
Uganda,1365.543317728216
Ukraine,16434.05732559832
United Arab Emirates,3699.6705869236025
United Kingdom,57246.53693548542
Uruguay,3863.2001244808816
Uzbekistan,906.4965080939827
Vanuatu,0.3636363636458242
Venezuela,1427.8224648904409
Vietnam,8624.81891441565
Yemen,108.96464435833902
Zambia,2685.5080833264788
Zimbabwe,2257.901492927869
